,Movie name,IMDB Rating,Description,Votes,Metascore,Total Duration (in Minutes)
71,Monster Hunter,5.3,"When Cpt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.",51829.0,,103.0
72,Upload,8.0,"A man is able to choose his own afterlife after his untimely death, by having his consciousness uploaded into a virtual world. As he gets used to his new life and befriends his angel (real world handler), questions about his death arise.",51155.0,,30.0
73,Ava,5.4,"Ava is a deadly assassin who works for a black ops organization, traveling the globe specializing in high profile hits. When a job goes dangerously wrong she is forced to fight for her own survival.",50922.0,,96.0
74,The Mandalorian,9.8,The Mandalorian and his allies attempt a daring rescue.,50624.0,,44.0
75,Ratched,7.3,"In 1947, Mildred Ratched begins working as a nurse at a leading psychiatric hospital. But beneath her stylish exterior lurks a growing darkness.",49711.0,,
76,Freaky,6.4,"After swapping bodies with a deranged serial killer, a young girl in high school discovers she has less than 24 hours before the change becomes permanent.",49365.0,67.0,102.0
77,Da 5 Bloods,6.5,Four African-American vets battle the forces of man and nature when they return to Vietnam seeking the remains of their fallen squad leader and the gold fortune he helped them hide.,49115.0,82.0,154.0
78,Ma Rainey's Black Bottom,6.9,Tensions rise when trailblazing blues singer Ma Rainey and her band gather at a recording studio in Chicago in 1927.,48771.0,87.0,94.0
79,My Octopus Teacher,8.1,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.",48300.0,82.0,85.0
80,Panchayat,8.8,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.",47920.0,,35.0
81,Defending Jacob,7.9,"The limited drama series is a gripping, character-driven thriller based on the 2012 New York Times best selling novel of the same name by William Landay. An assistant DA's world is shattered when his beloved son gets charged with murder.",46578.0,,402.0
82,Hubie Halloween,5.2,"Despite his devotion to his hometown of Salem (and its Halloween celebration), Hubie Dubois is a figure of mockery for kids and adults alike. But this year, something is going bump in the night, and it's up to Hubie to save Halloween.",46425.0,,103.0
83,Honest Thief,6.0,"Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.",46097.0,,99.0
84,Pieces of a Woman,7.1,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",46054.0,66.0,126.0
85,The Call of the Wild,6.8,A sled dog struggles for survival in the wilds of the Yukon.,45753.0,,100.0
86,Dracula,6.8,"In 1897 Transylvania, the blood-drinking Count draws his plans against Victorian London.",45586.0,,270.0
87,Fantasy Island,4.9,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",45381.0,,109.0
88,The Courier,7.2,Cold War spy Greville Wynne and his Russian source try to put an end to the Cuban Missile Crisis.,45334.0,65.0,112.0
89,Emma.,6.7,"In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends.",45146.0,71.0,124.0
90,Snowpiercer,6.9,"Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out.",43764.0,,60.0
91,Alice in Borderland,7.6,A group of bored delinquents are transported to a parallel dimension as part of a survival game.,43508.0,,50.0
92,Kimetsu no Yaiba: Mugen Ressha-Hen,8.2,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",43451.0,75.0,117.0
93,The Stranger,7.3,Follows the lives of suburban families whose secrets and lies are made public by the appearance of a stranger.,43071.0,,363.0
94,Bill & Ted Face the Music,6.0,"Once told they'd save the universe during a time-traveling adventure, 2 would-be rockers from San Dimas, California find themselves as middle-aged dads still trying to crank out a hit song and fulfill their destiny.",42865.0,65.0,91.0
95,Never Have I Ever,7.8,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",42653.0,,30.0
96,The Way Back,6.7,"Jack Cunningham was a high school basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption.",42199.0,66.0,108.0
97,Your Honor,7.6,"A judge confronts his convictions when his son is involved in a hit and run that embroils an organized crime family. Facing impossible choices, he discovers how far a father will go to save his son's life.",41714.0,,57.0
98,Messiah,7.6,"When a CIA officer investigates a man, and his followers, attracting international attention through acts of public disruption, she embarks on a global high-stakes mission to uncover whether he is a divine entity, or a deceptive con artist.",41532.0,,43.0
99,The Flight Attendant,7.1,"A reckless flight attendant with an alcoholism problem wakes up in the wrong hotel, in the wrong bed, with a dead man - and no idea what happened. Unable to piece the night together, she begins to wonder if she could be the killer.",40439.0,,
100,Hillbilly Elegy,6.7,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.",39938.0,,116.0
101,Outer Banks,7.6,A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.,39790.0,,50.0
102,Little Fires Everywhere,7.7,"Based on Celeste Ng's 2017 bestseller, ""Little Fires Everywhere"" follows the intertwined fates of the picture-perfect Richardson family and the enigmatic mother and daughter who upend their lives.",39601.0,,463.0
103,Rebecca,6.0,"A young newlywed arrives at her husband's imposing family estate on a windswept English coast and finds herself battling the shadow of his first wife, Rebecca, whose legacy lives on in the house long after her death.",38851.0,,123.0
104,Asur: Welcome to Your Dark Side,8.5,"A unique crime thriller that pits two opposing worlds against each other. The less explored, intricate world of forensic science and the deep mysticism of ancient Indian Mythology.",38175.0,,43.0
105,Lovecraft Country,7.1,A young African-American travels across the U.S. in the 1950s in search of his missing father.,38058.0,,60.0
