,Movie name,IMDB Rating,Description,Votes,Metascore,Total Duration (in Minutes)
5432,White Lines,7.3,"During a dinner meeting organized by David to honor Axel, old tension resurrect, ultimately causing Marcus to snap. Meanwhile, Zoe's marriage begins being put to the test.",332.0,,
5433,Patria,8.1,"Bittori, the widow of a Basque businessman murdered by ETA, goes back to her hometown to uncover the truth about his husband's killing.",331.0,,60.0
5434,This Is the Year,6.0,"In a last ditch effort to win over the girl of his dreams, a nerdy high school senior and his best friends embark on a road trip to see their favorite band at the biggest music festival of the year.",331.0,,97.0
5435,The Boys in the Band: Something Personal,7.2,"Decades after his play first put gay life center stage, Mart Crowley joins the cast of the 2020 film to reflect on the story's enduring legacy.",331.0,,28.0
5436,Mimaroglu: The Robinson of Manhattan Island,6.8,"""Mimaroglu: The Robinson of Manhattan Island"" is the story of two free spirits: legendary electronic music composer Ilhan Mimaroglu and his vibrant wife Güngör who migrated to the USA from ...                See full summary »",331.0,,77.0
5437,Dirty Money,7.4,"Lavish parties, luxury goods, dubious loans: Scandals surrounding Prime Minister Najib Razak rocked Malaysia - and left the nation drowning in debt.",331.0,,
5438,Chicago Fire,8.2,"As Firehouse 51 welcomes a new member to the team, whose presence could provide some complications, Brett's leadership shines during a scary call; Boden sees great potential in Kidd and ...                See full summary »",331.0,,41.0
5439,The Weeknd: Blinding Lights,8.5,"Official music video for ""Blinding Lights"" by The Weeknd.",331.0,,3.0
5440,The Good Fight,8.1,The firm represents a swimmer who didn't qualify to the Olympic team. Lucca enjoys her poker winnings. Adrian gets an interesting offer.,331.0,,57.0
5441,One Man and His Shoes,6.5,"'One Man and His Shoes' tells the story of the phenomenon of Air Jordan sneakers showing their social, cultural and racial significance and how ground-breaking marketing strategies created a multi-billion-dollar business.",331.0,,83.0
5442,We Are Freestyle Love Supreme,6.8,"Lin-Manuel Miranda Hamilton's improvisation hip-hop group, Freestyle Love Supreme and their reunion performances in New York City in 2019.",331.0,67.0,90.0
5443,The Trials of Gabriel Fernandez,8.2,"Isauro Aguirre's trial begins; if convicted, he faces the death penalty. Firefighters and deputies take the stand, and a forensic radiologist testifies Gabriel was under severe physical and...                See full summary »",330.0,,52.0
5444,Virgin River,7.7,"While Jack helps Mike zero in on Calvin, Mel and Doc investigate a mysterious outbreak that could be related to food poisoning. Hope learns a secret.",330.0,,41.0
5445,Aviva,5.3,"After meeting online, transatlantic lovers Aviva and Eden embark on a tumultuous courtship, love affair and marriage. The couple struggles, separates, and tries to get back together, as ...                See full summary »",330.0,65.0,116.0
5446,The Order,7.4,The Knights weigh whether to join the Order. Alyssa suspects that her feelings for Jack might be blocking her magic. Kepler pulls rank on Vera.,330.0,,51.0
5447,Trail of Ashes,3.9,The search for the empress's daughter reunites two long lost brothers who grew up on opposite sides of a war and now must choose between family bonds and political alliances.,329.0,,98.0
5448,Life After the Navigator,7.7,"A feature that not only celebrates the 1986 classic ""Flight of the Navigator"", but also looks at the life of its child star, Joey Cramer, and his roller-coaster life since that breakthrough role.",329.0,,91.0
5449,Helvete: Historien om norsk black metal,8.0,"The history of Norwegian black metal from the early eighties trough musical innovation, image building, murder, suicide and church burnings, and international recognition. With more focus ...                See full summary »",329.0,,
5450,How to with John Wilson,8.4,"John taps into his ""Memory Palace"" for an unforgettable exploration into our ability - or inability - to remember things.",329.0,,25.0
5451,Spiymaty Kaydasha,9.0,Add a Plot,329.0,,
5452,Aci Kiraz,5.0,"The Bitter Cherry is the story of people who are trying to get a hold on their lives in the shadow of a cherry tree, the story of lost lives and proliferating hopes. It talks about an old ...                See full summary »",329.0,,94.0
5453,Kalifat,7.8,Pervin scrambles to cover her tracks after a fateful deed. Fatima stumbles upon a clue. Ibbe introduces Sulle and Kerima to a persuasive recruit.,329.0,,47.0
5454,James May: Our Man in Japan,7.9,"James begins his journey at Cape Soya, the northernmost tip of Japan on the remote island of Hokkaido. This snowy wilderness is the least densely populated area of the country, and James ...                See full summary »",329.0,,48.0
5455,Un efecto óptico,4.7,"Alfredo and Teresa are a Spanish couple that decide to travel to New York to ""unplug"". Soon after landing, they start to feel that they are probably not in the city the agency has sold them, but they don't know where they are.",329.0,,80.0
5456,Veneno,8.8,"When Valeria was a little girl she never understood why people called her by a name that was not her own. The same happened to Cristina, misnamed ""Joselito"" at the time, who had to survive ...                See full summary »",329.0,,63.0
5457,Law & Order: Special Victims Unit,8.6,Benson investigates a police officer's accusations of sexual assault. Captain Tucker's retirement party ends in tragedy.,329.0,,41.0
5458,The Order,7.6,"Amid a standoff with the Prometheans, Alyssa goes into withdrawal. Meanwhile, Randall, Hamish and Gabrielle track Professor Foley.",329.0,,46.0
5459,High Fidelity,8.0,It's Simon's turn to recount his Top 5 Most Memorable Heartbreaks. This might explain why he's been so nervous around his Barista crush and his jaded outlook on love.,328.0,,34.0
5460,Clover,4.5,Two brothers owe money to the wrong guy at the wrong time. While they go on the run trying to pull together the money they become burdened with a teenage girl and hunted by assassins they don't know are following their every move,328.0,,101.0
5461,Petit vampire,6.4,"A friendship forms between a never-aging 10-year-old vampire and an orphan schoolboy, but a moon headed monster throws obstacles in their paths.",328.0,,85.0
5462,Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,9.0,Kaguya goes on a shopping trip with Shirogane's sister in the hopes of getting the perfect birthday present. Chika becomes suspicious seeing how zealous Kaguya has become over it.,328.0,,
5463,Bob's Burgers,7.9,Louise must confront her fear of pooping in public on an overnight school trip to the aquarium; Linda enlists the rest of the family to make a video for her parents' anniversary.,328.0,,21.0
5464,Saturday Night Live,7.8,Host John Mulaney; David Byrne performs.,328.0,,90.0
5465,Bob's Burgers,7.5,Tina tries too hard to be a perfect mentor; Bob and Linda visit the gym next door.,328.0,,22.0
5466,Animales Humanos,5.7,"A married couple and their young daughter are terrified of the neighbors' dog, which ends up biting the girl. The dog is sacrificed to the desolation of its owners who saw it as their son. ...                See full summary »",328.0,,87.0
5467,White Lines,7.3,"Zoe sets off to another desperate quest. Meanwhile, Oriol's attempts to be able to communicate better with his family are ruined by excessive honesty.",328.0,,
5468,Spinning Out,7.9,"Trust issues force Dasha to get creative with training, bringing the skaters out of their comfort zones. Suspicions grow around Mitch.",327.0,,
5469,Sen Çal Kapimi,9.1,"Serkan finally confessed his love. Now is Eda's turn. But after all they have been through, it will not be easy to get Eda's confession. Serkan is waiting patiently to hear that Eda is in ...                See full summary »",327.0,,
5470,Super Mario 3D All-Stars,8.0,"A compilation for the Nintendo Switch that features Super Mario 64 (1996), Super Mario Sunshine (2002), and Super Mario Galaxy (2007).",327.0,,
5471,Fear City: New York vs the Mafia,7.3,"As the FBI takes daring steps to wiretap the heads of the five families, the new US Attorney for the Southern District of New York joins the fight.",327.0,,44.0
5472,Helstrom,7.3,"Relationships deepen as stakes increase. To save a life, Hastings and Ana must do the unthinkable. Gabriella and Daimon journey to his childhood home in search of an old relic. A mother loses a son but gains an heir.",327.0,,50.0
5473,All Rise,7.9,"With Los Angeles under a mandatory shelter-in-place order and trials piling up, Judge Benner authorizes Judge Carmichael to preside over a virtual bench trial, a case regarding a dispute between brothers over a car.",327.0,,43.0
5474,Cooked with Cannabis,6.6,"Cooked with Cannabis is a competitive cooking show where three chefs make cannabis infused meals for a chance to win $10,000. Co-hots Kelis and Leather Storrs judge the contestants with the...                See full summary »",327.0,,
5475,Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,9.1,Election Day has arrived as Shirogane and Miko compete in the race for office.,327.0,,
5476,The Washing Machine,4.0,"The fictional story of an advanced washing machine that's also a time-traveling machine. However, what it truly offers is conflicts and ironies upon its users.",327.0,,110.0
5477,Infinity Train,8.9,Mirror Tulip and Jesse get stuck in a car and face an unusual dilemma.,327.0,,11.0
5478,Infinity Train,7.9,Mirror Tulip tries to create a new life for herself outside the Mirror World.,327.0,,11.0
5479,Grace and Frankie,7.9,"Grace tries to make amends to Frankie, Sol gives Robert a taste of his own medicine, and Brianna and Barry reached a turning point in the relationship.",327.0,,
5480,The Point of No Return,3.3,A dwindling group of German soldiers battle to return to their lines on the harsh Eastern Front.,326.0,,110.0
5481,American Dad!,6.9,Steve's efforts to befriend a Swedish exchange student backfire in a big way. The family calls in an animal behaviorist to deal with Klaus.,326.0,,21.0
5482,Arte,6.9,"Arte was born into an aristocratic family in Florence during the 16th century Renaissance era. Being female, it was unheard of for one to become an artist. She is willing to cast aside her aristocratic lifestyle to become an artist.",327.0,,
5483,Black Lightning,7.4,"After learning that Gravedigger and the Markovians are coming to attack Freeland, the Pierce family prepares for war.",326.0,,41.0
5484,Black Lightning,7.1,"Jefferson, Anissa and Jennifer discover that the ASA is now hunting the entire Pierce family. Meanwhile, Lynn does the unthinkable.",326.0,,42.0
5485,"Koncentrisi se, baba",7.6,"April 1992. Members of a large family strewn around the former Yugoslavia gather around the death bed of their elderly matriarch. She is not well, but the forecast of a family doctor that ...                See full summary »",326.0,,92.0
5486,Vera,8.1,DCI Vera Stanhope must piece together Luke Sumner's final hours in order to investigate his murder.,326.0,,120.0
5487,Love Life,7.5,"The girls head upstate to celebrate Mallory's engagement. At the cabin, Darby struggles to get through to Sara as their paths continue to diverge.",326.0,,
5488,High Fidelity,8.1,Rob reconnects with Liam when he returns from tour. His band has blown up and Rob is caught in the fantasy of dating a musician. But the reality of what Clyde is offering acts as a counterweight.,325.0,,32.0
5489,C.L.E.A.N.,7.3,"Inside a remote rehab sanatorium, four newly arrived patients, each one with a specific emotional damage, go through hell by discovering and enduring the vicious methods of the sinister doctor's treatments, attempting to stay alive.",325.0,,109.0
5490,Qlimax: The Source,7.3,Embark on a journey into sound through the mystical world of Qlimax. An immersive audiovisual hardstyle trip that lets you follow the ways of The Source. Do you have what it takes to fulfill your destiny?,325.0,,56.0
5491,Vernacular plan,4.8,"As a man enlists the help of two people in order to steal important documents from a safe in a bank, they train two clueless thieves to do the job.",325.0,,90.0
5492,Black Lightning,7.3,Jefferson and Anissa join forces with the ASA to help one of their own; Lynn is forced to continue battling her demons.,325.0,,41.0
5493,Black Clover,8.9,"A contingent of Black Bulls seeks info from Gordon's family of Curse Magic experts, while Noelle digs deeper into what really killed her mother Acier.",325.0,,24.0
5494,Infinite Dendrogram,5.9,"In the year 2043, Infinite Dendrogram, the world's first successful full-dive VRMMO was released. In addition to its ability to perfectly simulate the five senses, along with its many other...                See full summary »",325.0,,24.0
5495,Say Your Prayers,5.3,"Two orphaned brothers turned radical Christian hitmen venture to rural Ilkley under the instruction of Father Enoch). Their mission: assassinate Professor John Huxley, famed atheist writer.",324.0,,84.0
5496,Xing lin yi yuan,3.1,A grieving wife and the sister of of a nurse paid two Tao priests to commune with the spirits of their deceased loved ones in a famous haunted hospital.,324.0,,89.0
5497,Bob's Burgers,7.6,The kids meet a mysterious old woman at a hotel on Halloween as Louise plots her revenge for a candy transgression; Bob and Linda donate blood at a vampire-themed blood mobile.,324.0,,22.0
5498,The God of High School,8.3,"Mori and the rest have fallen into a huge cave, where they battle against Jegal. They faced him together, but their attacks don't even reach him. In this time, a memory that had remained dormant in Mori's mind all this time reawakens.",324.0,,
5499,Last Week Tonight with John Oliver,8.6,"[HBO] HD. John Oliver discusses how the government is handling the coronavirus outbreak, how they're not, and what we can do to help.",324.0,,22.0
5500,Kalifat,8.3,"Fatima tracks down a man who could be an important lead, but he's one step ahead. At wits' end, Suleiman heads for the Syrian-Turkish border with Calle.",324.0,,47.0
5501,86 Melrose Avenue,3.8,"An ex-marine with PTSD storms into a gallery, taking hostages and forcing them to confront their complex past and looming mortality, as time ticks by.",324.0,,84.0
5502,Marcella,6.8,"Marcella is recognised on the street, and later finds an odd note on her windshield. When DCI Sangha arrives in Belfast, Bobby must cover his tracks.",324.0,,
5503,The Good Lord Bird,8.2,Onion and new recruit John Cook head to Harper's Ferry to prepare for the arrival of John Brown and his army. Onion struggles recruiting African-American soldiers. Brown's arrival with daughter Annie creates a new distraction: true love.,324.0,,51.0
5504,Cografya kader mi?,9.0,This documentary reveals the true side of Selahattin Demirtas and his connections with PKK and Ocalan,323.0,,37.0
5505,Bob's Burgers,8.0,The Belchers try to keep the restaurant open when Bob's flattop breaks on the morning of the Ocean Avenue Business Association's Ocean Fest.,323.0,,21.0
5506,Helstrom,7.4,Daimon and Gabriella find themselves in disturbing new territory. Ana has to make a decision that will change the course of the siblings' lives in irreversible ways. Victoria tries to make amends but she may be too late.,323.0,,52.0
5507,Breathe: Into the Shadows,8.2,Abha's world comes crashing down when she suspects Avinash of cheating on her. Kabir retraces the kidnapper's troubled past and ultimately cracks the case but is it a little too late? Abha ...                See full summary »,323.0,,58.0
5508,Mir! Druzhba! Zhvachka!,7.4,"1993 year. 14-year-old Sanka Ryabinin lives a normal teenage life - looking for adventure, trying to defend himself against district bullies, does not want to go to music school, does not ...                See full summary »",323.0,,
5509,The Inglorious Serfs,7.1,What if Taras Shevchenko put down his pen and took a samurai sword into his hands?,323.0,,90.0
5510,Chicago P.D.,8.2,"As they await news of Halstead's fate, the team tries to focus on work, turning their attention to an illegal arms dealer. Atwater discovers his brother, Jordan, is back in Chicago and ...                See full summary »",323.0,,41.0
5511,Tough as Nails,6.5,"Tough As Nails is a competition series that celebrates everyday Americans who roll up their sleeves and don't think twice about working long hard hours and getting their hands dirty, in order to keep their country running.",323.0,,
5512,The Gift,7.3,"Serdar orders Hannah to keep a close watch on Atiye, who soon discovers Serdar's link to Erhan's mining operation and meets a man from Erhan's past.",323.0,,
5513,Freud,7.0,Dr. Freud's life is in danger. Police inspector Kiss and Dr. Freud are facing a strange suicide. Sophie hypnotizes Fleur and sends her to a private audience with Crown Prince Rudolf.,323.0,,51.0
5514,The Order,7.6,"Nicole finds a spell that could bring back Lilith, but it hinges on Alyssa's cooperation. Jack tries to broker a deal between Vera and Salvador.",323.0,,49.0
5515,Ordem Paranormal,8.6,"Worried about their colleagues, Erin and Fernando go in search of their team at the Orphanage, but end up trapped in the strange Game of the Host, counting only with the help of two strangers to escape.",322.0,,270.0
5516,Saturday Night Live,6.8,Host Kristen Wiig; Dua Lipa performs.,322.0,,90.0
5517,Bob's Burgers,7.5,The family tries to cheer up Gene when a stomach flu makes him unable to eat Thanksgiving dinner.,322.0,,21.0
5518,My Next Guest Needs No Introduction with David Letterman,8.9,"In an interview on his Ohio farm, comedian Dave Chappelle talks about his career, family and community.",322.0,,
5519,Ashley Garcia: Genius in Love,6.9,15-year-old scientist Ashley Garcia explores the great unknown of modern teendom after moving across the country to pursue a career in robotics.,322.0,,
5520,I'll Be Gone in the Dark,7.5,"In 1979, law enforcement is thrilled when the East Area Rapist (EAR) attacks abruptly stop in Northern California, but in reality, EAR has moved south to commit a number of gruesome murders in the Santa Barbara area.",322.0,,61.0
5521,PEN15,8.6,"It's opening night. Hearts are exposed, forcing both Anna and Maya to grow up.",322.0,,36.0
5522,Kalifat,8.3,"With Lisha's fate in her hands, Pervin enlists Husam's help. Fatima tails Jakob and Emil and turns to her last resort.",322.0,,47.0
5523,Ghosts,8.6,"It's a nervous Mike's first night alone in the house, when some uninvited guests set the ghosts on a mission to defend their treasured home.",322.0,,27.0
5524,Me contro Te - Il film: La vendetta del Signor S,1.5,"Luì and Sofì fight the terrible Signor S once again, this time he will be revealed to the public!!!",322.0,,64.0
5525,Infinity Train,9.1,Someone mysterious invites Jesse and Mirror Tulip into a mall car.,322.0,,11.0
5526,Vera,7.6,A young man seeking his biological father is found face down in the water.,322.0,,115.0
5527,Truth Be Told,7.6,Poppy enlists an unlikely ally in her hunt. The events of Halloween 1999 are revealed.,321.0,,42.0
5528,Crossfire,8.4,"Crossfire is Lauren Southern's third documentary film project focusing on the issues surrounding policing, brutality, race, law and order. A heated debate today which has led to a massive ...                See full summary »",321.0,,122.0
5529,Disney Gallery: Star Wars: The Mandalorian,8.7,"Featuring immersive on-set footage that places viewers right in the middle of the filmmaking process, and rare insights from the cast and crew, this special documentary explores the production of all 8 episodes in season two.",321.0,,65.0
5530,Zeruda musou: Yakusai no mokushiroku,8.1,"Taking place a hundred years before the events of Zeruda no densetsu: Buresu obu za wairudo (2017), Link, Zelda, the four Champions, the King of Hyrule, and more must save the kingdom of Hyrule as a great evil begins its calamity.",321.0,,
5531,Let's Meet Again on Christmas Eve,5.8,Two college sweethearts reconnect while coordinating a wedding just in time for the holidays.,321.0,,87.0
5532,"Omoi, Omoware, Furi, Furare",7.0,"The love affairs of four schoolkids: a romantic, a pragmatist, an airhead and a lothario.",321.0,,103.0
5533,Bob's Burgers,7.0,Linda goes to Gayle's artists' workshop in a yurt; Louise and Gene search for a lost cat to collect a cash reward.,321.0,,21.0
5534,Bob's Burgers,7.3,Louise comes to Gene's defense when he gets kicked out of the Ocean Avenue Hifi Emporium.,321.0,,22.0
5535,Alef,7.7,"The identity of the person who brought the box sent by the killer is found, while the histories of Settar and Kemal are gradually revealed.",321.0,,
5536,Épidémie,7.5,-A dangerous virus is spreading in Montreal (in Canada) among a group of ostracized and vulnerable homeless people.,321.0,,
5537,Like a House on Fire,6.0,"When Dara returns home to reconnect with the husband and young daughter she left behind two years earlier, she discovers that a woman who is seven months pregnant has taken her place and ...                See full summary »",321.0,,84.0
5538,White Lines,7.4,Zoe's trial day finally arrives. David's efforts to help Oriol with psychedelics go awry. Clint crosses the line when making his own investigation of Axel's murder.,321.0,,
5539,The Magicians,7.8,Julia lends a book to some lady. Fogg finds a sock.,321.0,,43.0
5540,Peruna,6.4,Comedy about a start-up entrepreneur who tries to import potato to Finland in the 17th century.,320.0,,109.0
5541,Dance Dreams: Hot Chocolate Nutcracker,7.2,"Behind-the-scenes at the Debbie Allen Dance Academy and their award-winning version of The Nutcracker, which blends a variety of dance traditions.",320.0,,80.0
5542,Murder Bury Win,5.3,"Three friends have created a board game, MURDER BURY WIN, and they think it has what it takes to become a bestseller on the indie charts. When their attempt to crowdfund fails, a mysterious...                See full summary »",320.0,,90.0
5543,Death of a Ladies' Man,5.5,"A carousing college professor's life takes a series of unimaginable turns, and all the old stories are given a new twist, when he begins to have surreal hallucinations and learns he may not be long for this world.",320.0,,100.0
5544,Cuties,1.5,"A group of gay teenagers are picked off by a mysterious killer during the first month of their senior year, while insecure boy Micah goes through a crisis of self-worth as he can't grasp why the killer has no interest in coming after him.",320.0,,88.0
5545,Challenger: The Final Flight,7.6,"To revive public interest, NASA chooses teacher Christa McAuliffe to be the first civilian on the Shuttle. Issues with the solid rocket boosters linger.",320.0,,42.0
5546,The God of High School,8.4,"After learning that his grandfather, Jin Taejin, has been confined, Mori rushes to set him free. Daewi and Mira await his arrival at the tournament with no idea what's going on.",320.0,,
5547,Cuidado con lo que deseas,4.2,Pamela loves fairy tales and horror films. Her parents take her to celebrate her eighth birthday and her uncle gives her as a gift a jester who will allow her to see the spectacle of how adults behave when they think no one is seeing them.,320.0,,91.0
5548,Haikyuu!!,9.3,"Karasuno begin to prepare against Miya Atsumu's Team, Inarizaki, the second most likely team to win the entire high school national tournament.",320.0,,
5549,Next,8.0,"Shea and Le Blanc head to Dartmouth to investigate NEXT's whereabouts, which are potentially linked to Biomotion Labs. There, they visit LeBlanc's friend, Professor Richard Pearish for ...                See full summary »",320.0,,44.0
5550,Kalifat,7.9,"Fatima continues investigating despite being told to stop. Coming under fire strengthens her belief in Pervi's message. Ahmed, the colleague of Husam, is reported missing and Husam believes he has killed Ahmed.",320.0,,47.0
5551,Haikyuu!!,8.7,Hinata begins to feel left behind as Kageyama and Tsukishima are each invited to training camps and he isn't.,320.0,,
5552,Chicago P.D.,8.6,Intelligence searches for the dealer who caused multiple overdoses and is connected to Roman's missing sister. The case becomes a homicide investigation when they find the dealer's dead body.,320.0,,41.0
5553,The Unborn,3.7,"Strange, unexplained events unfold at an old factory. Two security guards must come to terms with reality: Tiffany as a future mother, and Joey who is secretly in love with her. But someone...                See full summary »",320.0,,70.0
5554,Get Back Up,7.4,"""The riveting, emotionally charged story of one man's journey from rock stardom to rock bottom, rescued by his faith, the love of a woman, his family and his band mates; it is a story of despair and of hope for all.",319.0,,
5555,Ökozid,5.0,"The year 2034: The consequences of the climate catastrophe are dramatic. Drought and floods destroy the livelihoods of millions of people. After the third storm tide in a row, the ...                See full summary »",319.0,,90.0
5556,Biohackers,7.5,"On the run and with time running out, Mia turns to her friends for help in a life-and-death race to save the train's passengers.",319.0,,45.0
5557,Biohackers,7.0,Mia tries to wheedle her way into a job at Dr. Lorenz's biomedical institute but runs into a problem when she's asked to participate in a genetic study.,319.0,,40.0
5558,Haikyuu!!,9.1,"Nearing the end of the second set, Inarizaki begins to make Karasuno lose their momentum when Inarizaki's captain, Kita Shinsuke, makes his first appearance on court.",319.0,,
5559,NCIS: Naval Criminal Investigative Service,7.8,"The team searches for answers when the body of a well-regarded Navy technician in the Reserves is found floating in a lake where a popular community event is being held. Also, Sloane is ...                See full summary »",319.0,,42.0
5560,Dirty John,7.8,Dan gaslights Betty til the truth comes out and she sees her life has been a sham for years.,319.0,,44.0
5561,Deadwater Fell,7.4,"Kate's funeral is first, then on to the three girls. Tom gives the eulogy, but there is no mention of Kate. Kate has been cut out of all the photos with her daughters. People start to question it.",319.0,,47.0
5562,Seeru,5.5,A guy from a small-town takes on a ruthless criminal lawyer for his friend and sister(s).,319.0,,123.0
5563,Taskmaster NZ,8.3,"Jeremy Wells acts as Taskmaster in this New Zealand edition of Taskmaster (2015), with Paul Williams acting as his assistant.",318.0,,
5564,The Rope Curse 2,4.7,"Jia-min, who was born sensitive to the paranormal, tries to summon ""Yi-A-Gu"" with two streamers. Huo-ge helps Jia-min subdue the spirit when the situation goes out of hand. Huo-ge possesses...                See full summary »",318.0,,104.0
5565,The God of High School,8.6,"Ilpyo unleashes the Nine-Tails. Mori uses his Blue Dragon Tempest, but Ilpyo stops it easily. But then, energy suddenly surges forth from Mori's body.",318.0,,
5566,Law,5.6,The moving struggle of a female law student fighting her own case to put a criminal behind bars. The plot further evaluates whether she really received justice by getting the criminal punished.,318.0,,124.0
5567,Too Hot to Handle,5.1,"Francesca and Haley refine their radical gameplay, Rhonda and Sharron have a midnight chat, and the singles get wrapped up in an intimacy workshop.",318.0,,38.0
5568,Hawaii Five-0,8.4,"Two bank robbers are on the run and take a family hostage. Luckily a good Samaritan saves them, but at the same time crosses a crime boss. Also the mystery surrounding Doris' letter thickens.",318.0,,43.0
5569,Absentia,8.2,"Emily and Nick are finally reunited with Flynn back in Boston, but the threat of Elliot's bioweapon still looms large. Emily resorts to drastic measures and make a dangerous choice to ensure her family's safety.",318.0,,54.0
5570,The Flood,4.5,"When a woman's husband, daughter, land and innocence are ripped from her, she embarks on a brutal journey of retribution and revenge.",318.0,,117.0
5571,Sex,6.3,"After a magical night and an innocent kiss on a rooftop, Cathrine (22) is paralyzed with confusion and desire. At home she has her boyfriend Simon (22), who is also her best friend, but ...                See full summary »",318.0,,15.0
5572,Bob's Burgers,7.4,"In spite of her skepticism, Louise joins the search for a mythic sea monster; Bob takes a famous chef's online master class.",318.0,,21.0
5573,First Ladies,7.3,The personal and political lives of First Ladies from throughout history.,318.0,,
5574,Little America,6.5,Her 10-day silent retreat gets complicated when Sylviane falls for a fellow meditator.,318.0,,32.0
5575,She Ball,2.8,"She Ball follows the love of the game through the struggles of Avery Watts, who enlists the baddest women's streetball league in the city to help him save the embattled Inglewood Community ...                See full summary »",317.0,,97.0
5576,Bob's Burgers,8.0,"When Linda's parents have a layover at a nearby airport, she and Bob decide to make it their annual ""visit"".",317.0,,21.0
5577,SEAL Team,8.6,"When Warrant Officer Ray Perry goes missing following an explosion in Tunisia, his former teammates wrestle with how to help their brother and his family while Bravo Team is sidelined.",317.0,,41.0
5578,FBI,8.2,Jess LaCroix from the Fugitive Task Force joins the case of a busload of kids being kidnapped when the suspect is a white supremacist he apprehended years ago.,317.0,,85.0
5579,Dorohedoro,7.7,Shin and Noi take care of En's enemies. Fujita and Ebisu have an important dinner with En. Caiman and Nikaido head to Marumigi to confront a sorcerer who change people's faces with needles.,317.0,,
5580,McMillions,7.0,"Gennaro ""Jerry"" Colombo land in the ICU; leading Jerome ""Jerry"" Jacobson To scout for new recruiters; Dwight Baker and others join the operation; the FBI gathers evidence.",317.0,,58.0
5581,Hawaii Five-0,7.9,Grover and the team investigate a murder at a private golf course involving a man who was frozen to death in the locker room's cryotherapy chamber; McGarrett tags along with Danny to a school meeting.,317.0,,43.0
5582,"Gott, du kannst ein Arsch sein",5.4,"A young girl in Germany graduates from high school, then gets a cancer diagnosis. She decides to enjoy the time she has left instead of spending her remaining time in the hospital, and goes...                See full summary »",317.0,,98.0
5583,Veneno,9.2,"Valeria, determined to write the book about Veneno's memories, finds herself in more difficulties than she imagined. There is something important in Cristina's childhood, but she avoids it ...                See full summary »",317.0,,55.0
5584,Breeders,7.2,The children won't sleep. Paul and Ally thought these nights were over. Paul spends the night fighting his own anger and his children's inability to go to sleep.,317.0,,28.0
5585,Grace and Frankie,7.8,"Grace and Frankie prepare for their pitch, but their prototype is missing. Robert keeps a secret from Sol. Brianna gets an appealing offer.",317.0,,
5586,Angie: Lost Girls,5.1,"After escaping from a sex trafficking ring, one teenage girl struggles to reconnect with herself and her family. To rescue her helpless friends, she must confront her own fears and help lead the police to her traffickers - at all costs.",316.0,,108.0
5587,Tsunami,6.1,The effects of the 2004 tsunami in Thailand on a number of fictional Swedish characters.,316.0,,177.0
5588,Bob's Burgers,7.4,Bob agrees to be the temporary chef at the Fischoeders' new nightclub; the kids throw a pool party in the restaurant basement when they get a hold of a stock tank.,316.0,,22.0
5589,Greatness Code,4.5,"Untold stories from the greatest athletes in the world, with each episode examining a pivotal moment that defined an athlete's career.",316.0,,6.0
5590,Peter Grill to Kenja no Jikan,5.1,"Peter Grill is the strongest man in the world, but that means he's got a host of women who are after him and steal him away from the woman he loves.",316.0,,12.0
5591,Boruto: Naruto Next Generations,8.3,"Boruto saves Tento from Shojoji before he can use his Corpse Clone jutsu. Boruto fights Shojoji, but his abilities are ineffective against Shojoji's jutsu. In the midst of battle, the mark on Boruto's palm starts to react and change form.",316.0,,
5592,The Legend of Baron To'a,6.4,"Fritz, a young Tongan man grappling with his wrestling superstar father Baron To'a's legacy, both metaphorically and literally following in his deceased father's footsteps by fighting for the return of his dad's stolen championship belt.",316.0,,103.0
5593,Miracle Workers,7.3,"While Prince Chauncley and Lord Vexler are on a diplomatic mission, a new invention threatens Eddie's family business.",316.0,,21.0
5594,Chilling Adventures of Sabrina 3: Straight to Hell,8.1,"Featuring Kiernan Shipka singing 'Straight to Hell', the theme song for the Netflix series 'Chilling Adventures of Sabrina'.",316.0,,3.0
5595,Nekopara,6.3,"What's NEKOPARA? Why, it's a cat paradise. Kashou Minazuki, the son of a long line of Japanese confection makers moved out to open his own shop ""La Soleil"" as a patisserie.",316.0,,21.0
5596,Jesus,4.2,"Witness the most miraculous events in history as Jesus sets sail with fishermen, challenges the Pharisees, befriends the outcasts, and heals the hurting. The lives he touches will never be the same.",316.0,,130.0
5597,Oaza,6.8,"Real life people play versions of themselves, in a love triangle set in a facility for intellectually disabled youth.",316.0,,122.0
5598,Kaiji: Fainaru gêmu,4.9,"Kaiji experiences the biggest adventure of his life. He encounters four different games: ""Babel no Tou"", ""Saigo no Shinpan"", ""Dream Jump"", and ""Gold Janken"".",316.0,,128.0
5599,Central Park,6.9,"An event goes awry in the New York park, which Owen manages and lives in with his family. Paige chases a hard news story.",316.0,,24.0
5600,October Faction,6.7,"As night falls, Deloris -- and Fred -- get into trouble. Later, the ""parents of the year"" track their prey. Viv uncovers more about her powers.",315.0,,39.0
5601,Boruto: Naruto Next Generations,8.0,"While Boruto and Sarada train, Team 10 is given a mission with Shinki's team from the Sand Village to collect an Otsutsuki puppet that was left in the desert. During the mission, they cross paths with Deepa, who is also after the puppet.",315.0,,
